id,track_id,title,album_name,album_id,filename,filepath,description,seo_keywords,prompt,tags,cover_prompt,seed,created_at
16,16,SCIENCE GONE WRONG,ATOMIC LOUNGE,3,SCIENCE GONE WRONG.wav,music/ATOMIC LOUNGE/SCIENCE GONE WRONG.wav,Theremin melodies and sci-fi zaps. Spooky 50s sci-fi movie vibes.,theremin beat|sci fi horror 50s|spooky retro beat|alien invasion music|mad scientist vibe|laboratory background music|halloween retro|eerie sci fi|mystery beat|x files vibe retro|quirky horror|viral spooky sound|wobbly synth|strange beat|experimental lofi,"100 BPM, A minor, sci-fi trap instrumental, vibe: mad science; instruments: Theremin lead, bubbling chemical sounds, analog synth zaps, trap drums; groove: creepy and skulking; arrangement: [Intro]->[Theremin]->[Drop]->[Bubbles]->[Outro]; production notes: wobbling pitch on the theremin, echo/delay effects, bubbly textures. Classic B-movie horror.",Sci-Fi|Spooky|Theremin,"Single-subject cinematic cutout: Brain in a Jar, pose: floating in a robotic chassis, controlling levers. Body details: bubbling green liquid, mechanical claws. Environment: A retro laboratory with Tesla coils. Atmosphere: electricity arcs, green glow. Lighting: Electric Blue + Toxic Green. Camera: Close up. Mood: mad, intelligent.",ALB18_T05_SEED79135,2025-12-22 08:22:47.223+00
17,17,THE LAST WALTZ,ATOMIC LOUNGE,3,THE LAST WALTZ.wav,music/ATOMIC LOUNGE/THE LAST WALTZ.wav,Orchestral swell fading into static. The final credits of humanity.,sad orchestral ending|final credits music|emotional retro|end of world waltz|beautiful sad beat|cinematic finale|goodbye music|slow motion ending|tragic beauty|last moment audio|vintage orchestra|viral sad edit|tear jerker|swelling strings|fading out,"95 BPM, D major, orchestral lofi waltz instrumental, vibe: final goodbye; instruments: string section, slow piano, vinyl static, distant explosions (foley); groove: swelling and fading; arrangement: [Intro]->[Strings]->[Climax]->[Static Fade]; production notes: sounds like an old record playing in an empty room, emotional and grand but decaying in quality at the end.",Orchestral|Sad|Ending,"Single-subject cinematic cutout: An Old Television Set, pose: sitting on a singular chair in a void. Screen shows 'Please Stand By'. Body details: wood paneling, cracked screen. Environment: Total darkness/void. Atmosphere: dust motes dancing in the screen light. Lighting: TV Static White. Camera: Slow zoom out. Mood: final, empty.",ALB18_T06_SEED80246,2025-12-22 08:22:47.223+00
18,18,WASTELAND WANDERER,ATOMIC LOUNGE,3,WASTELAND WANDERER.wav,music/ATOMIC LOUNGE/WASTELAND WANDERER.wav,Acoustic guitar and loneliness. The sound of walking across the map.,acoustic guitar hip hop|lonely travel music|cowboy bebop vibe|desert walk music|melancholy guitar beat|road trip apocalypse|chill guitar instrumental|reflective beat|storytelling guitar|folk hop|scenic view music|viral travel mood|calm vibe|simple beat|walking simulator audio,"88 BPM, E minor, acoustic folk-hop instrumental, vibe: lonely road; instruments: acoustic steel-string guitar, harmonica, soft kick drum, shaker; groove: walking pace; arrangement: [Intro]->[Guitar]->[Beat]->[Harmonica]->[Outro]; production notes: intimate guitar recording (hear the finger squeaks), very simple percussion, vast reverb on the harmonica. Solitude.",Acoustic|Chill|Folk,"Single-subject cinematic cutout: The Wanderer (Cyborg Dog), pose: sitting on a dune looking at the horizon. Body details: robotic leg, bandanas. Environment: A vast desert wasteland. Atmosphere: wind blowing sand, two suns setting. Lighting: Sunset Red + Dust Brown. Camera: Low angle behind subject. Mood: adventurous, lonely.",ALB18_T04_SEED68024,2025-12-22 08:22:47.223+00
21,21,ROARING 2025,BRASS KNUCKLES,4,ROARING 2025.wav,music/BRASS KNUCKLES/ROARING 2025.wav,"Electro-Swing on steroids. Fast, happy, and chaotic.",electro swing 2025|party gatsby music|fast swing beat|dance charleston remix|vintage remix upbeat|happy jazz trap|energetic swing|club jazz|retro futuristic party|trumpet solo fast|shuffle dance swing|viral dance trend|catchy hook|high energy|funky beat,"150 BPM, F major, electro-swing instrumental, vibe: futuristic gatsby; instruments: sampled swing vocals (chops), clarinet solo, heavy house/trap hybrid drums, walking bass; groove: shuffling and bouncy; arrangement: [Intro]->[Swing]->[Drop]->[Solo]->[Drop]; production notes: vintage vinyl texture on samples vs pristine modern drums, high energy party vibe.",Swing|Party|Upbeat,"Single-subject cinematic cutout: Flapper Droid, pose: dancing the Charleston. Body details: fringe dress made of fiber optics, pearl necklace. Environment: A massive hologram ballroom. Atmosphere: confetti, champagne spray. Lighting: Champagne Gold + Neon Pink. Camera: Full body action. Mood: joyous, wild.",ALB28_T05_SEED55667,2025-12-22 08:22:47.223+00
22,22,SPEAKEASY,BRASS KNUCKLES,4,SPEAKEASY.wav,music/BRASS KNUCKLES/SPEAKEASY.wav,"Sneaky, cool, and bass-heavy. Walking into the secret club.",cool jazz trap|sneaky music|walking bass line|secret club vibe|classy trap beat|smooth brass|finger snap beat|mafia aesthetic|luxury bar music|confident walk|gangster vibe|viral cool sound|low end theory|noir trap|stylish beat,"120 BPM, C minor, noir trap instrumental, vibe: underground luxury; instruments: muted trumpet, walking acoustic bass, finger snaps, hard trap kick; groove: swinging and cool; arrangement: [Intro]->[Bass walk]->[Drop]->[Trumpet]->[Drop]; production notes: smoky atmosphere, heavy sidechain on the bass, crisp snaps, smooth and dangerous.",Noir|Cool|Trap,"Single-subject cinematic cutout: Jazz Singer Cyborg, pose: leaning on a vintage microphone, smoking a holographic cigarette. Body details: sequined dress, chrome skin. Environment: A smoky, dim basement club. Atmosphere: smoke swirls, spotlight dust. Lighting: Spotlight White + Velvet Red. Camera: Low angle. Mood: sultry, mysterious.",ALB28_T02_SEED22334,2025-12-22 08:22:47.223+00
23,23,SUIT & TIE,BRASS KNUCKLES,4,SUIT & TIE.wav,music/BRASS KNUCKLES/SUIT & TIE.wav,Orchestral hits and swagger. The villain fixes his cuffs.,suit transition music|fashion jazz|swagger beat|james bond trap|luxury suit vibe|grwm classy|orchestral hits trap|confident jazz|expensive taste audio|villain suit up|sharp beat|viral fashion sound|clean aesthetic|horn stabs|classy beat,"128 BPM, E minor, cinematic jazz-hop instrumental, vibe: sartorial elegance; instruments: orchestral brass stabs, string swells, boom-bap drums, piano glissandos; groove: strutting and confident; arrangement: [Intro]->[Stab]->[Strut]->[Piano]->[Outro]; production notes: dynamic brass hits, very clean mix, feeling of adjusting a tie, polished sound.",Fashion|Jazz|Swagger,"Single-subject cinematic cutout: The Don (Robot), pose: adjusting cufflinks, looking in a mirror. Body details: immaculate tuxedo, gold faceplate. Environment: A luxury dressing room. Atmosphere: polished surfaces, expensive cologne (visualized as mist). Lighting: Gold + Stark White. Camera: Reflection shot. Mood: sharp, rich.",ALB28_T03_SEED33445,2025-12-22 08:22:47.223+00
182,182,NIGHT SWIM,THE POOLROOMS,31,NIGHT SWIM.wav,music/THE POOLROOMS/NIGHT SWIM.wav,"Darker, sexy, and mysterious. The lights are off.",night swim music|dark water aesthetic|sexy ambient|midnight pool|glowing water music|mysterious calm|slow dark vibe|reflection music|romantic liminal|deep atmosphere|quiet luxury|viral night vibe|sub bass|soft texture|moonlight audio,"85 BPM, B minor, dark chillout instrumental, vibe: forbidden swim; instruments: deep sub-bass, filtered pads, cricket sounds (echoey), soft water ripples; groove: slow and seductive; arrangement: [Intro]->[Atmosphere]->[Bass]->[Ripple]->[Fade]; production notes: darkness in the sound, muted high end, deep immersion, intimate.",Chill|Dark|Night,"Single-subject cinematic cutout: Glowing Jellyfish Entity, pose: floating above the water surface. Body details: bioluminescent tentacles. Environment: A pool room with the lights off. Atmosphere: glow reflecting on water, silence. Lighting: Bioluminescent Blue + Darkness. Camera: Water level. Mood: magical, dark.",ALB30_T06_SEED98990,2025-12-22 08:22:47.223+00
26,26,DEUS VULT,CATHEDRAL OF BASS,5,DEUS VULT.wav,music/CATHEDRAL OF BASS/DEUS VULT.wav,A massive male choir chanting in Latin over a stomping drill beat. The crusade begins.,crusade music|latin chant trap|knight aesthetic music|holy war beat|epic male choir|drill chant|medieval trap|templar vibe|dark souls trap|boss fight choir|religious aggression|viral chant trend|heavy stomp|sacred drill|monk trap,"140 BPM, D minor, gregorian drill instrumental, vibe: holy war; instruments: deep male choir chanting Latin phrases (texture), church bell hits, sliding drill 808s, marching snares; groove: stomping and heavy; arrangement: [Intro]->[Chant]->[Drop]->[Bell]->[Drop]; production notes: massive cathedral reverb on vocals, dry punchy drums, feeling of an army marching.",Choir|Drill|Epic,"Single-subject cinematic cutout: Cyber-Templar Knight, pose: kneeling with a glowing energy sword planted in the ground. Body details: chrome plate armor, red neon cross. Environment: A marble cathedral floor. Atmosphere: dust motes, silence. Lighting: Shaft of Sunlight + Red Neon. Camera: Eye level. Mood: solemn, powerful.",ALB25_T01_SEED11223,2025-12-22 08:22:47.223+00
28,28,HOLY WATER,CATHEDRAL OF BASS,5,HOLY WATER.wav,music/CATHEDRAL OF BASS/HOLY WATER.wav,Liquid sounds mixed with bells. Cleansing and refreshing but heavy.,water trap beat|cleansing audio|refreshing bass|bell trap|pure vibe music|baptism aesthetic|liquid sound design|clean trap beat|meditative heavy|holy vibe|aesthetic water sound|viral cleanse trend|smooth 808|crystal clear|peaceful drop,"120 BPM, B major, liquid trap instrumental, vibe: purification; instruments: water splashes, crystal singing bowls, church bells, clean sub-bass; groove: flowing and deep; arrangement: [Intro]->[Bowl]->[Drop]->[Water]->[Outro]; production notes: crystal clear high end, deep smooth bass, wet reverb, feeling of being submerged in light.",Liquid|Chill|Holy,"Single-subject cinematic cutout: Cyber-Baptist, pose: pouring glowing blue water from a chalice. Body details: robes of transparent plastic, glowing internal skeleton. Environment: A futuristic marble pool. Atmosphere: steam, ripples, purity. Lighting: Aqua Blue + White. Camera: Eye level. Mood: peaceful, pure.",ALB25_T05_SEED55667,2025-12-22 08:22:47.223+00
29,29,ORGAN FAILURE,CATHEDRAL OF BASS,5,ORGAN FAILURE.wav,music/CATHEDRAL OF BASS/ORGAN FAILURE.wav,A pipe organ melody that descends into madness and bass.,pipe organ trap|interstellar vibe remix|dramatic organ beat|gothic trap|vampire castle music|heavy bass organ|cinematic villain theme|phantom of the opera trap|scary church music|intense buildup|hans zimmer style trap|viral organ sound|dark classical|massive drop|haunting melody,"138 BPM, C minor, cinematic trap instrumental, vibe: gothic drama; instruments: massive pipe organ (toccata style), distorted sub-bass, trap hi-hat rolls, choir stabs; groove: dramatic and heavy; arrangement: [Intro]->[Organ Solo]->[Drop]->[Arpeggio]->[Drop]; production notes: full frequency spectrum on the organ, sub-bass that shakes the floor, terrifying atmosphere.",Organ|Gothic|Trap,"Single-subject cinematic cutout: Phantom Android, pose: playing a massive organ made of black pipes and skulls. Body details: half-mask, tuxedo. Environment: A candlelit balcony. Atmosphere: shadows, flickering light. Lighting: Candle Orange + Deep Blue. Camera: Low angle. Mood: dramatic, insane.",ALB25_T02_SEED22334,2025-12-22 08:22:47.223+00
32,32,COFFEE BREAK,EXECUTIVE FUNCTION,6,COFFEE BREAK.wav,music/EXECUTIVE FUNCTION/COFFEE BREAK.wav,"Liquid pouring sounds and a jittery, caffeinated beat.",coffee aesthetic music|jittery beat|hyper energy music|caffeine rush audio|morning routine fast|liquid drum beat|pouring sound music|nervous energy|productive beat|fast jazz hop|quirky office|viral coffee trend|bouncy rhythm|happy anxious|upbeat minimal,"135 BPM, G major, micro-house instrumental, vibe: caffeine jitters; instruments: liquid pouring samples, spoon clinking, bubbling synth, jittery hi-hats; groove: twitchy and fast; arrangement: [Intro]->[Pour]->[Sip]->[Rush]->[Outro]; production notes: use foley of coffee making as the drum kit, bright and snappy, slightly chaotic energy.",House|Quirky|Energy,"Single-subject cinematic cutout: Caffeinated Android, pose: vibrating slightly, holding a steaming mug. Body details: wide eyes, shaking hand. Environment: A break room with a glowing coffee machine. Atmosphere: steam, nervous energy. Lighting: Coffee Brown + Neon White. Camera: Close up. Mood: wired, awake.",ALB26_T05_SEED21223,2025-12-22 08:22:47.223+00
34,34,ELEVATOR PITCH,EXECUTIVE FUNCTION,6,ELEVATOR PITCH.wav,music/EXECUTIVE FUNCTION/ELEVATOR PITCH.wav,Bossa Nova elevator music that gets distorted and creepy.,elevator music trap|creepy bossa nova|liminal space music|waiting room horror|distorted lounge|backrooms vibe|awkward silence music|lobby beat|unsettling calm|corporate horror|vaporwave dark|viral liminal sound|muzak remix|glitchy jazz|slow vibe,"90 BPM, F major, dark vaporwave instrumental, vibe: liminal uneasiness; instruments: cheap midi bossa nova drums, cheesy elevator organ, tape warp, deep menacing bass drone underneath; groove: awkward and slow; arrangement: [Intro]->[Elevator Theme]->[Distortion]->[Drone]->[Theme]; production notes: start with clean elevator music, slowly introduce detuning and scary bass elements.",Liminal|Vaporwave|Dark,"Single-subject cinematic cutout: Faceless Executive, pose: standing in an elevator, holding a briefcase. Body details: face is a blur or mirror. Environment: An elevator with mirrored walls. Atmosphere: infinite reflections, cold light. Lighting: Fluorescent White. Camera: Security camera angle. Mood: uneasy, claustrophobic.",ALB26_T02_SEED88990,2025-12-22 08:22:47.223+00
35,35,THE PRINTER,EXECUTIVE FUNCTION,6,THE PRINTER.wav,music/EXECUTIVE FUNCTION/THE PRINTER.wav,Rhythmic mechanical noises of a printer turning into a beat.,printer noise beat|mechanical techno|office asmr music|rhythmic machine|workplace beat|industrial techno light|repetitive task music|glitchy office|scanner sound effect|tech house minimal|viral machine sound|clean beat|nerdy vibe|satisfying loop|work flow,"128 BPM, C major, industrial minimal techno instrumental, vibe: mechanical repetition; instruments: printer scanning sounds, paper crunching snares, rhythmic mechanical whirs, clean sub-kick; groove: rigid and looping; arrangement: [Intro]->[Scan]->[Groove]->[Jam]->[Groove]; production notes: very dry and close-mic sounds, ASMR-like textures, hypnotic machine rhythm.",Minimal|Tech|ASMR,"Single-subject cinematic cutout: Office Drone (Male), pose: staring into a jamming photocopier with glowing green light. Body details: white shirt, tie, face illuminated by the scanner light. Environment: A dark copy room. Atmosphere: green light spill, paper flying. Lighting: Scanner Green + Shadow. Camera: Close up. Mood: frustrated, hypnotic.",ALB26_T01_SEED77889,2025-12-22 08:22:47.223+00
38,38,BLOCK PARTY,FAVELA 2077,7,BLOCK PARTY.wav,music/FAVELA 2077/BLOCK PARTY.wav,"Pure celebration energy. Whistles, shouts, and bouncing beats.",party funk|celebration beat|festival funk|upbeat brazilian beat|dance challenge audio|energetic vibe|summer party music|whistle beat|happy funk|carnival vibe|group dance music|viral happy sound|bouncy instrumental|funky rhythm|crowd hype,"132 BPM, A minor, upbeat brazilian funk instrumental, vibe: carnival chaos; instruments: samba whistles, energetic synth brass, popping percussion, sub-kick; groove: infectious bounce; arrangement: [Intro]->[Whistle Hook]->[Drop]->[Break]->[Drop]; production notes: bright mix, crowd noise layers (cheering/shouting texture), punchy transients. Impossible not to move to.",Party|Upbeat|Funk,"Single-subject cinematic cutout: Carnival Queen Cyborg, pose: mid-samba step, arms raised. Body details: massive feather headdress made of fiber optics, sequined chassis. Environment: A parade float moving through a neon city. Atmosphere: confetti storm, flashing camera lights. Lighting: Gold + Hot Pink. Camera: Full body, dynamic. Mood: celebratory, vibrant.",ALB7_T05_SEED53627,2025-12-22 08:22:47.223+00
39,39,METAL MACHINE,FAVELA 2077,7,METAL MACHINE.wav,music/FAVELA 2077/METAL MACHINE.wav,Industrial textures over a funk beat. Sounds like a factory exploding.,industrial funk|robot dance music|metallic beat|hard hitting funk|mechanical rhythm|cyber funk|glitch funk|heavy percussion|workout aggression|clanking beat|future funk dark|intense rhythm|viral robot dance|experimental beat|raw industrial,"128 BPM, B minor, industrial funk instrumental, vibe: mechanical violence; instruments: metallic clanks as snare, hydraulic hiss, deep synth bass, distorted vocal stabs; groove: rigid but funky; arrangement: [Intro]->[Machine Start]->[Drop]->[Grind]->[Outro]; production notes: use of foley sounds (metal hits) for drums, extreme compression, cold robotic atmosphere. A robot dance party.",Industrial|Funk|Robot,"Single-subject cinematic cutout: Heavy Loader Droid, pose: dancing/bouncing (hydraulic suspension active). Body details: yellow industrial paint, hazard stripes, massive speakers mounted on shoulders. Environment: A futuristic recycling plant. Atmosphere: steam, sparks, crushing metal. Lighting: Hazard Yellow + Steel Blue. Camera: Wide angle. Mood: heavy, fun.",ALB7_T04_SEED42516,2025-12-22 08:22:47.223+00
